,Auction,VIN,Name,Address(1),City,State,Zip,Year,Make,Model,zipcode,latitude,longitude
0,ADESA Boise,1FADP3K2XEL110465,LOSS PREVENTION SERVICES,2609 Keim ln,Nampa,ID,83687,2014,FORD,FOCUS,83687,43.590207908441556,-116.48982670952383
1,ADESA Boise,KNDJT2A52D7561380,Loss Prevention Services,604 N 36TH,Nampa,id,83687,2013,KIA,SOUL,83687,43.590207908441556,-116.48982670952383
2,ADESA Boise,WAUDFAFC8EN028112,Loss Prevention Services,Ben Keim ln ID 83687,Nampa,id,83687,2014,AUDI,A6,83687,43.590207908441556,-116.48982670952383
3,ADESA Boise,1D7RV1GPXBS536517,Idatow,2609 keim ln,nampa,ID,83687,2011,RAM,1500,83687,43.590207908441556,-116.48982670952383
4,ADESA Boise,1C3CDFBH0DD641370,bell and williams,604 N 36TH,Nampa,id,83687,2013,DODGE,DART,83687,43.590207908441556,-116.48982670952383
5,ADESA Boise,1D7HU18NX8S605274,bell and williams,1789 Osterloh ave,Twin Falls,id,83301,2008,DODGE,RAM 1500,83301,47.950897499999996,12.570154300395739
6,ADESA Boise,1FMCU0F75HUD60449,Bell and Williams,11350 w executive Dr lot 1,boise,id,83713,2017,FORD,ESCAPE,83713,43.6378091710331,-116.33350261305289
7,ADESA Boise,1N6AD0EV1CC408634,Bell and Williams,11350 West Executive Dr Lot 1,Boise,id,83713,2012,NISSAN,FRONTIER,83713,43.6378091710331,-116.33350261305289
8,ADESA Boise,2HGFB2F55FH544454,Bell and Williams,11350 w executive Dr lot 1,boise,id,83713,2015,HONDA,CIVIC SEDAN,83713,43.6378091710331,-116.33350261305289
9,ADESA Boise,3C6RR7KT7JG195693,bell and williams,604 N 36TH,Nampa,id,83687,2018,RAM,1500,83687,43.590207908441556,-116.48982670952383
10,ADESA Boise,3FADP4BJ6FM126806,Bell and Williams,604 N 36TH,Nampa,id,83687,2015,FORD,FIESTA,83687,43.590207908441556,-116.48982670952383
11,ADESA Boise,KMHTC6AE3DU137414,Bell and Williams,11350 w executive Dr lot 1,boise,id,83713,2013,HYUNDAI,VELOSTER,83713,43.6378091710331,-116.33350261305289
12,ADESA Boise,KMHD35LH6EU189353,American Recovery Services,123 MAIN ST.,CALDWELL,id,83605,2014,HYUNDAI,ELANTRA GT,83605,43.661159354285715,-116.67909391714286
13,ADESA Des Moines,5XXGN4A76DG241780,MVTRAC,1001 Racoon St Des Moines,Des Moines,IA,50309,2013,KIA,OPTIMA,50309,41.586886245773194,-93.62262603360824
14,ADESA Des Moines,1G1PA5SH6E7456605,LOSS PREVENTION SERVICES,4655 S 60th Ave,OMAHA,NE,68117,2014,CHEVROLET,CRUZE,68117,41.21078704769231,-96.00771026
15,ADESA Des Moines,1GNKVJKD7DJ122099,LOSS PREVENTION SERVICES,14208 NE 14th St,Alleman,IA,50007,2013,CHEVROLET,TRAVERSE,50007,24.08333342790698,120.55788327906976
16,ADESA Des Moines,1N4AL3AP9DN523489,LOSS PREVENTION SERVICES,1200 HOAK DR,WEST DES MOINES,IA,50265,2013,NISSAN,ALTIMA,50265,-7.0787411,110.4121302
17,ADESA Des Moines,2HGFC2F7XHH569769,LOSS PREVENTION SERVICES,33617 6th Street,PARKERSBURG,IA,50665,2017,HONDA,CIVIC SEDAN,50665,42.55143390941176,-92.7768210082353
18,ADESA Des Moines,3FA6P0LU5KR188849,LOSS PREVENTION SERVICES,1025 N 8th Street,Clearlake,IA,50428,2019,FORD,FUSION HYBRID,50428,54.9131778,23.9624935
19,ADESA Des Moines,3N1AB7AP7EL658639,LOSS PREVENTION SERVICES,14208 NE 14th St,ALLEMAN,IA,50007,2014,NISSAN,SENTRA,50007,24.08333342790698,120.55788327906976
20,ADESA Des Moines,4T1BF1FK9HU422080,LOSS PREVENTION SERVICES,809 DUBUQUE ST,QUASQUETON,IA,52326,2017,TOYOTA,CAMRY,52326,54.893398242857145,24.012620057142858
21,ADESA Des Moines,5N1AZ2MG3FN217062,LOSS PREVENTION SERVICES,14208 NE 14th St,Alleman,IA,50007,2015,NISSAN,MURANO,50007,24.08333342790698,120.55788327906976
22,ADESA Des Moines,5XXGR4A65FG369295,LOSS PREVENTION SERVICES,1200 Hoak Dr W,DES MOINES,IA,50265,2015,KIA,OPTIMA,50265,-7.0787411,110.4121302
23,ADESA Des Moines,JHMGE8H53BC005515,LOSS PREVENTION SERVICES,809 DUBUQUE ST,QUASQUETON,IA,52326,2011,HONDA,FIT,52326,54.893398242857145,24.012620057142858
24,ADESA Des Moines,KNDPB3AC3F7758160,Loss Prevention Services,809 Dubuque St,Quasqueton,ia,52326,2015,KIA,SPORTAGE,52326,54.893398242857145,24.012620057142858
25,ADESA Des Moines,1FADP3F29HL249582,BELL & WILLIAMS ASSOC,17010 STATE ORCHARD RD,COUNCIL BLUFFS,IA,51503,2017,FORD,FOCUS,51503,41.256193141457864,-95.81506374487472
26,ADESA Des Moines,1G1PC5SB6F7239028,BELL & WILLIAMS ASSOC,706 E 5TH ST,WILTON,IA,52778,2015,CHEVROLET,CRUZE,52778,41.610790804411764,-91.00309224264706
27,ADESA Des Moines,5XYKU4A73FG578807,BELL & WILLIAMS ASSOC,4601 10th Ave,MARION,IA,52302,2015,KIA,SORENTO,52302,54.89595633333334,23.982664755555554
28,ADESA Des Moines,KNDPBCAC2F7743536,BELL & WILLIAMS ASSOC,1418 E Madison,DES MOINES,IA,50313,2015,KIA,SPORTAGE,50313,41.63877597792916,-93.618417846594
29,ADESA Des Moines,1GNKRGKD2GJ237186,AMERICAN RECOVERY SERVICE,809 DUBUQUE ST,QU,IA,52326,2016,CHEVROLET,TRAVERSE,52326,54.893398242857145,24.012620057142858
30,ADESA Des Moines,KNAGT4L39G5084963,AMERICAN RECOVERY SERIVICE,14208 NE 14th St,ALLEMAN,IA,50007,2016,KIA,OPTIMA,50007,24.08333342790698,120.55788327906976
31,ADESA Fargo,KNAGM4A7XF5646550,LOSS PREVENTION SERVICES,3100 Hwy 52 South,Minot,ND,58701,2015,KIA,OPTIMA,58701,48.2112192,-101.3034413605042
32,ADESA Jacksonville,1C4PJMCB3GW341710,"XTREME TOWING & RECOVERY, LLC",6252 COMMERCIAL WAY,BROOKSVILLE,FL,34613,2016,JEEP,CHEROKEE,34613,36.3376352,127.43321685
33,ADESA Jacksonville,1C4PJLLB1KD154495,THE FINAL NOTICE AGENCY,5475 POWERLINE RD,FORT LAUDERDALE,FL,33309,2019,JEEP,CHEROKEE,33309,26.187865770205065,-80.17881879433051
